,comfort_food_reasons_coded,fav_cuisine_coded,fruit_day,pay_meal_out,veggies_day,food_recommend
1,9,2,5,2,5,볶음밥
2,9,5,5,2,5,국밥
3,9,4,5,4,5,치킨
4,1,1,4,3,4,파스타
5,1,5,4,5,4,삼겹살
6,1,4,4,4,4,치킨
7,1,6,4,1,4,빵
8,1,5,4,3,4,샤브샤브
9,1,1,4,4,4,피자
10,1,6,4,1,4,과자
11,1,6,4,1,4,아이스크림
12,1,4,5,4,5,치킨
13,1,5,5,2,5,야채볶음밥
14,1,1,5,3,5,파스타
15,1,7,5,2,5,샐러드
16,1,1,5,4,5,피자
17,1,4,5,2,5,타코
18,1,4,5,2,5,햄버거
19,1,4,4,4,4,치킨
20,1,5,4,5,4,삼겹살
21,1,1,4,3,4,스파게티
22,1,1,4,3,4,미트볼파스타
23,1,4,4,2,4,치킨텐더
24,1,6,4,1,4,아이스크림
25,1,6,4,1,4,초콜렛
26,4,3,2,3,1,랜덤
27,4,5,2,4,1,샤브샤브
28,4,5,2,2,1,칼국수
29,1,4,4,4,4,치킨
30,1,5,4,5,4,삼겹살
31,1,5,4,2,4,칼국수
32,1,4,4,2,4,햄버거
33,1,6,4,1,4,아이스크림
34,1,6,4,1,4,빵
35,1,4,5,4,4,치킨
36,1,5,5,5,4,삼겹살
37,1,1,5,3,4,치킨파스타
38,1,7,5,2,4,샐러드
39,1,6,5,2,4,핫도그
40,1,4,5,2,4,치즈버거
41,2,1,4,3,3,파스타
42,2,5,4,2,3,생선구이
43,2,5,4,5,3,삼겹살구이
44,2,6,4,2,3,도넛츠
45,2,6,4,1,3,아이스크림
46,1,7,5,2,5,샐러드파스타
47,1,1,5,3,5,빵과 파스타
48,1,7,5,2,5,계란 및 샐러드
49,1,5,5,2,5,브런치메뉴
50,1,1,5,3,5,파스타
51,2,4,5,4,5,치킨
52,2,1,5,3,5,스파게티
53,2,1,5,3,5,치킨파스타
54,3,4,5,4,5,치킨
55,3,5,5,2,5,생선구이
56,3,1,5,3,5,파스타
57,3,5,5,2,5,국밥
58,3,5,4,3,3,만두전골
59,3,4,4,4,3,피자
60,3,4,4,4,3,치킨
61,1,1,5,3,5,파스타
62,1,4,5,4,5,치킨
63,1,5,5,5,5,삼겹살
64,1,6,5,2,5,케이크
65,2,1,5,4,5,피자
66,2,4,5,4,5,치킨
67,2,5,5,2,5,볶음밥
68,2,5,5,3,5,족발
69,2,7,5,1,5,과일
70,2,1,5,3,5,스파게티
71,2,4,5,4,5,치킨
72,2,1,3,3,1,치킨파스타
73,2,1,3,4,1,피자
74,2,6,3,1,1,도넛츠
75,1,2,5,3,5,카레
76,1,5,5,2,5,생선구이
77,1,1,5,4,5,치킨
78,1,2,5,2,5,쌀국수
79,2,4,3,4,4,치킨
80,2,5,3,2,4,볶음밥
81,2,1,3,3,4,파스타
82,2,5,3,5,4,삼겹살구이
83,3,1,5,3,5,스파게티
84,3,4,5,4,5,치킨
85,3,5,5,2,5,칼국수
86,2,4,2,4,2,치킨
87,2,3,2,2,2,중국식볶음밥
88,2,3,2,2,2,짜장면
89,7,4,2,4,3,치킨
90,7,1,2,4,3,파스타
91,7,1,2,4,3,피자
92,2,8,3,3,2,돈까스
93,2,1,3,4,2,파스타
94,3,1,4,4,3,파스타
95,3,4,4,2,3,햄버거
